Food Item (खाद्य पदार्थ),Category (श्रेणी),Calories (per 100g),Protein (g),Carbs (g),Fat (g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects)
Wood Apple (कैथ),Fruits,134,7.1,18.1,3.7,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances P, K.","Strengthens digestion, laxative."
Tamarind (इमली),Fruits,239,2.8,62,0.6,Sour (अम्ल),Heating (उष्ण),"Heavy, Moist (गुरु, स्निग्ध)",Sour (अम्ल),"Balances V, K. Increases P.","Digestive, used as a souring agent."
Karonda (करोंदा),Fruits,42,0.6,9.6,0.6,"Sour, Astringent (अम्ल, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K, P. Can increase V.","Rich in iron, used in pickles and chutneys."
Phalsa (फालसा),Fruits,55,0.9,13,0.1,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Can increase V.,"Relieves heat, thirst-quenching summer berry."
Ber (Indian Jujube) (बेर),Fruits,79,1.2,20,0.2,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Can increase K.","Rich in vitamin C, calming."
Starfruit (कमरख),Fruits,31,1,7,0.3,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Hydrating fruit, high in vitamin C. Avoid in kidney issues."
Rose Apple (जामरोज),Fruits,25,0.6,6,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Can increase V.,"Hydrating, good for diabetes."
Langra Mango (लंगड़ा आम),Fruits,70,0.8,18,0.4,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.","Energizing, boosts immunity."
Totapuri Mango (तोतापुरी आम),Fruits,65,0.6,17,0.4,"Sour, Sweet (अम्ल, मधुर)",Heating (उष्ण),Heavy (गुरु),Sour (अम्ल),"Balances V, K. Increases P.","Tangy mango variety, improves digestion."
Chikoo (सपोटा),Fruits,83,0.4,20,1.1,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Rich in natural sugars, energy boosting."
Custard Apple (सीताफल),Fruits,94,2.1,23.6,0.3,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.","Nutritious, high in natural sugars and magnesium."
Lychee (लीची),Fruits,66,0.8,17,0.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Increases K.","Hydrating, rich in vitamin C."
Longan (लॉन्गन),Fruits,60,1.3,15,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Increases K.",Used in Ayurveda for vitality.
Mangosteen (मंगोस्तीन),Fruits,73,0.4,18,0.6,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K. Can increase V.","Known as 'queen of fruits', antioxidant-rich."
Dragon Fruit (पिताया),Fruits,60,1.2,13,0.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. May increase V.,"Rich in fiber, hydrating."
Avocado (एवोकाडो),Fruits,160,2,9,15,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.","Healthy fats, heart protective."
Green Grapes (हरे अंगूर),Fruits,67,0.6,17,0.2,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P.","Refreshing, hydrating."
Black Grapes (काले अंगूर),Fruits,70,0.7,18,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P.",Rich in antioxidants.
Green Apple (हरा सेब),Fruits,52,0.3,14,0.2,"Sour, Sweet (अम्ल, मधुर)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, V. Can increase K.",Good for digestion and weight loss.
Black Raisins (काली किशमिश),Dry Fruits,299,3.3,79,0.5,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Can increase K.,"Strengthening, blood purifier."
Golden Raisins (पीली किशमिश),Dry Fruits,302,3.4,80,0.6,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Can increase K.,"Improves stamina, sweetener alternative."
Dry Apricot (सूखी खुबानी),Dry Fruits,241,3.4,63,0.5,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Can increase K.,"Good for skin, rich in iron."
Dry Fig (सूखा अंजीर),Dry Fruits,249,3.3,64,0.9,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Can increase K, P.",Improves digestion and fertility.
Dry Dates (छुहारा),Dry Fruits,282,2.5,75,0.4,Sweet (मधुर),Heating (उष्ण),Very Heavy (अति गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Very strengthening, aphrodisiac."
Prunes (सूखा आलूबुखारा),Dry Fruits,240,2.2,64,0.4,"Sweet, Sour (मधुर, अम्ल)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Can increase K, P.","Natural laxative, improves bone health."
Pine Nuts (चिलगोज़ा),Nuts,673,14,13,68,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Can increase K.,"Nourishing, can be heavy to digest."
Brazil Nuts (ब्राज़ील नट),Nuts,656,14,12,66,Sweet (मधुर),Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),Balances V. Can increase K.,"High in selenium, boosts thyroid."
Macadamia Nuts (मैकाडेमिया),Nuts,718,8,14,76,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),Balances V. Can increase K.,Very high in healthy fats.
Hazelnuts (हेज़लनट),Nuts,628,15,17,61,Sweet (मधुर),Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),Balances V. Can increase K.,Rich in vitamin E and fiber.
Pecans (पेकन),Nuts,691,9,14,72,Sweet (मधुर),Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Can increase K, P.",Rich in antioxidants.
Chestnuts (शाहबलूत),Nuts,213,2.4,45,2.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances P. Can increase K.,"Low fat, high carbs, energy source."
Poppy Seeds (खसखस),Seeds,525,18,28,42,Sweet (मधुर),Cooling (शीत),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Can increase K.","Calming, good for sleep."
Hemp Seeds (भांग बीज),Seeds,553,31,9,49,Sweet (मधुर),Heating (उष्ण),"Heavy, Oily (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.",Rich in protein and omega fatty acids.
Nigella Seeds (कलौंजी),Seeds,375,17,44,22,"Pungent, Bitter (कटु, तिक्त)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances K, V. Can increase P.",Strong digestive stimulant.
Carom Seeds (अजवाइन),Seeds,305,16,43,25,Pungent (कटु),Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Excellent for V, K. Increases P.",One of the best spices for indigestion and gas.
Mustard (Yellow) (पीली सरसों),Spices,508,26,28,36,Pungent (कटु),Heating (उष्ण),"Sharp, Oily (तीक्ष्ण, स्निग्ध)",Pungent (कटु),"Balances K. Increases P, V.",Milder than black mustard.
Long Pepper (पिप्पली),Spices,374,12,67,2.8,Pungent (कटु),Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Balances K, V. Increases P.","Rejuvenative, especially for the respiratory system."
White Pepper (सफेद मिर्च),Spices,296,11,69,3,Pungent (कटु),Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Balances K. Increases V, P.",Less pungent but more heating than black pepper.
Nutmeg (जायफल),Spices,525,6,49,36,"Astringent, Sweet (कषाय, मधुर)",Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances V. Increases K, P.","Sedative, promotes sleep. Use in very small amounts."
Mace (जावित्री),Spices,475,7,50,32,"Astringent, Sweet (कषाय, मधुर)",Heating (उष्ण),"Sharp, Heavy (तीक्ष्ण, गुरु)",Pungent (कटु),"Balances V. Increases K, P.","Aromatic, digestive stimulant. Outer cover of nutmeg."
Saffron (केसर),Spices,310,11,65,6,"Bitter, Sweet (तिक्त, मधुर)",Heating (उष्ण),Light (लघु),Sweet (मधुर),Balances all doshas.,"Rejuvenating, precious spice."
Dry Mango Powder (अमचूर),Spices,360,2,90,0.5,Sour (अम्ल),Cooling (शीत),Light (लघु),Sour (अम्ल),"Balances V, K. Increases P.","Tangy spice, vitamin C rich."
Pomegranate Seed Powder (अनारदाना),Spices,300,3,70,1,"Sour, Astringent (अम्ल, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sour (अम्ल),"Balances V, K. Increases P.",Used as a souring agent in North Indian cooking.
Rock Sugar (मिश्री),Sweeteners,385,0,100,0,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.","Unrefined sugar, cooling in nature. Better than white sugar."
Palm Sugar (ताड़ शुगर),Sweeteners,386,0,95,0,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.",Traditional sweetener with a lower glycemic index.
Coconut Sugar (नारियल शुगर),Sweeteners,375,0,92,0,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.",Made from coconut palm sap.
Molasses (गुड़ का सिरका),Sweeteners,290,0,75,0,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Rich in minerals like iron.
Vinegar (Apple Cider) (सिरका),Miscellaneous,21,0,1,0,Sour (अम्ल),Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Sour (अम्ल),"Balances V, K. Strongly increases P.",Used in small amounts to aid digestion. Very Pitta-aggravating.
Tofu (टोफू),Prepared Food,76,8,1.9,4.8,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.",Soybean curd. Lighter than paneer. Can be drying for Vata.
Tempeh (टेम्पेह),Prepared Food,193,19,9,11,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.",Fermented soybean cake. Easier to digest than plain soy.
Papadum (Roasted) (पापड़म),Prepared Food,371,22,59,1.5,Salty (लवण),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Can increase V, P. Balances K.",Roasted is better than fried.
Pickle (Mango) (आम का अचार),Prepared Food,200,2,15,15,"Sour, Salty, Pungent",Very Heating (अति उष्ण),"Heavy, Sharp (गुरु, तीक्ष्ण)",Sour (अम्ल),"Strongly increases P. Increases V, K.",Use in tiny amounts as a digestive aid. Excess is harmful.
Chutney (Mint-Coriander) (चटनी),Prepared Food,50,2,8,1,"Pungent, Sour (कटु, अम्ल)",Cooling (शीत),"Light, Liquid (लघु, द्रव)",Pungent (कटु),"Balances P, K. Can increase V.",Fresh chutney aids digestion. Very different from pickles.
Khandvi (खांडवी),Prepared Food,152,5,15,8,"Sweet, Salty (मधुर, लवण)",Cooling (शीत),"Light, Unctuous (लघु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Can increase K.",Gram flour and yogurt roll. Light and savory snack.
Upma (उपमा),Prepared Food,200,5,30,7,"Sweet, Salty (मधुर, लवण)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances K, P. Can increase V.",Savory semolina porridge. Easy to digest when moist.
Idiyappam (String Hoppers) (इडियप्पम),Prepared Food,130,2,29,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Can increase K.",Steamed rice flour noodles. Very light and digestible.
Appam (अप्पम),Prepared Food,120,3,25,1,"Sweet, Sour (मधुर, अम्ल)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances V, P. Can increase K.",Fermented rice pancake. Light and soft.
Puttu (पुट्टु),Prepared Food,150,3,32,1,Sweet (मधुर),Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Can increase V, K.",Steamed cylinders of ground rice and coconut.
Thepla (थेपला),Prepared Food,250,8,35,9,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),"Light, Oily (लघु, स्निग्ध)",Sweet (मधुर),"Balances V. Can increase P, K.",Gujarati flatbread with fenugreek. Good for travel.
Sattu Flour (सत्तू),Flours,406,20,65,6,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V if taken dry.",Roasted gram flour. Very cooling and strengthening. Excellent summer food.
Barnyard Millet Flour (साँवा आटा),Flours,310,6.5,66,2.5,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.","Flour from fasting millet, very light."
Kuttu Flour (कुट्टू का आटा),Flours,335,12.6,70.6,3.1,"Sweet, Astringent (मधुर, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances K, V. Can increase P.","Buckwheat flour, common during Navratri fasting."
Rajgira Flour (राजगिरा आटा),Flours,371,14,65,7,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.","Amaranth flour, gluten-free and high in protein."
Almond Flour (बादाम का आटा),Flours,579,21,22,49,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.","Gluten-free, high-fat flour. Very nourishing."
Coconut Flour (नारियल का आटा),Flours,443,19,60,14,Sweet (मधुर),Cooling (शीत),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances V, P. Can increase K.","High in fiber, absorbs a lot of liquid."
Tapioca Flour (टैपिओका आटा),Flours,358,0.2,88.7,0.2,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.","Starchy flour, good binder, used in fasting."
Triticale (ट्रिटिकेल),Grains,338,13,72,2.1,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.",Hybrid of wheat and rye. Contains gluten.
Spelt (स्पेल्ट),Grains,338,15,70,2.4,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.","An ancient type of wheat, often easier to digest."
Browntop Millet (कोरले),Millets,343,11.5,67.5,3.5,Sweet (मधुर),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances V, P. Can increase K.","Rich in antioxidants, easy to digest."
Sprouted Ragi Flour (अंकुरित रागी आटा),Flours,340,8,73,1.6,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas.,Sprouting makes it lighter and more digestible than regular ragi flour.
Navy Beans (सफेद राजमा),Legumes,337,22,61,0.8,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P.","Mild flavor, nutritious."
Edamame (कच्चा सोयाबीन),Legumes,122,11,10,5,Sweet (मधुर),Cooling (शीت),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.",Immature soybeans. Eaten steamed.
Dew Beans / Matki (मटकी),Legumes,343,23,62,1.6,"Sweet, Astringent",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.",Commonly sprouted in Indian cuisine.
Velvet Beans (कौंच बीज),Legumes,332,23,59,1.4,Bitter (तिक्त),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),"Balances V. Increases P, K.","Medicinal bean, known as an aphrodisiac."
Split Pigeon Pea (with skin) (छिलका अरहर),Lentils,340,22,61,1.6,"Astringent, Sweet",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can increase V.",Heavier than washed Toor dal due to skin.
Armenian Cucumber (ककड़ी),Vegetables,15,0.7,3,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Excellent for P. Can increase V, K.","Long, crunchy cucumber variety. Very hydrating."
Red Bell Pepper (लाल शिमला मिर्च),Vegetables,31,1,6,0.3,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V, K. Increases P.",Sweeter and more Pitta-aggravating than green capsicum.
Yellow Bell Pepper (पीली शिमला मिर्च),Vegetables,27,1,6,0.2,Sweet (मधुर),Slightly Heating,Light (लघु),Sweet (मधुर),"Balances V, P, K.",Milder and sweeter than green capsicum.
Daikon Radish (सफ़ेद मूली),Vegetables,18,0.6,4.1,0.1,Pungent (कटु),Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),Balances all doshas (Tridoshic).,Milder than red radish. Excellent for clearing channels.
Black Carrot (काली गाजर),Vegetables,35,1,8,0.2,"Sweet, Pungent (मधुर, कटु)",Heating (उष्ण),Light (लघु),Pungent (कटु),"Balances V, K. Increases P.",Used to make Kanji. Very high in antioxidants.
Kachri (कचरी),Vegetables,20,1,4,0.1,"Sour, Bitter (अम्ल, तिक्त)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sour (अम्ल),"Balances V, K. Increases P.",Wild cucumber used as a souring agent and meat tenderizer in Rajasthan.
Gunda / Lasora (गुंदा),Vegetables,60,1.5,14,0.2,"Astringent, Sweet (कषाय, मधुर)",Cooling (शीत),"Unctuous, Heavy (स्निग्ध, गुरु)",Sweet (मधुर),"Balances V, P. Increases K.","Glueberry, used for making pickles. Slimy texture."
Fennel Bulb (सौंफ का बल्ब),Vegetables,31,1.2,7,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Excellent for P. Balances V, K.",Crunchy with a mild licorice flavor. Aids digestion.
Artichoke (हाथी चक),Vegetables,47,3.3,11,0.2,"Bitter, Astringent (तिक्त, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Excellent for P, K. Increases V.",Good for liver health and detoxification.
Asparagus (शतावरी),Vegetables,20,2.2,3.9,0.1,"Sweet, Bitter (मधुर, तिक्त)",Cooling (शीत),Light (लघु),Sweet (मधुर),"Excellent for P. Balances V, K.","Diuretic, good for urinary tract."
Butternut Squash (बटरनट स्क्वैश),Vegetables,45,1,12,0.1,Sweet (मधुर),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Increases K.","Sweet, nutty flavor. Grounding and nourishing."
Spaghetti Squash (स्पेगेटी स्क्वैश),Vegetables,31,0.6,7,0.6,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),"Balances P, K.",Flesh separates into noodle-like strands when cooked.
Chayote Squash (चाउ चाउ),Vegetables,19,0.8,4.5,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,Mild and watery vegetable. Easy to digest.
White Pumpkin (सफ़ेद कद्दू),Vegetables,20,1,4,0.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,Often used in South Indian cooking like Avial.
Red Pumpkin (लाल कद्दू),Vegetables,26,1,7,0.1,Sweet (मधुर),Slightly Heating,Heavy (गुरु),Sweet (मधुर),"Balances V. Can increase P, K.",Sweet and grounding. Good for Vata.
Air Potato (जंगली आलू),Vegetables,120,2,28,0.2,"Sweet, Bitter (मधुर, तिक्त)",Heating (उष्ण),"Heavy, Dry (गुरु, रूक्ष)",Sweet (मधुर),"Balances V, K. Can increase P.",A type of yam that grows on a vine.
Purple Yam (रतालू),Vegetables,118,1.5,28,0.2,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases K, P.","Deep purple color, rich in antioxidants."
Chana Saag (चना भाजी),Leafy Greens,40,4,6,0.5,"Sour, Astringent (अम्ल, कषाय)",Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Sour (अम्ल),"Balances V, K. Increases P.",Tender greens of the chickpea plant. A winter delicacy.
Poi Saag (पोई साग),Leafy Greens,19,1.8,3.4,0.3,Sweet (मधुर),Cooling (शीत),"Unctuous, Heavy (स्निग्ध, गुरु)",Sweet (मधुर),"Excellent for V, P. Increases K.","Malabar Spinach. Slimy texture, very nourishing."
Lal Bhaji (लाल भाजी),Leafy Greens,23,2.5,4,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Sweet (मधुर),"Balances P, K. Can increase V.",Red Amaranth greens. A common and nutritious bhaji.
Patua Bhaji (पटुआ भाजी),Leafy Greens,30,3,5,0.4,Bitter (तिक्त),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K, V. Increases P.",Jute leaves. Common in Bengal and Chhattisgarh.
Sun Suniya Bhaji (सुनसुनिया भाजी),Leafy Greens,25,2,4,0.2,Slightly Bitter (तिक्त),Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K. Can increase V.","A local wild green of Chhattisgarh, known for its calming properties."
Brahmi Leaves (ब्राह्मी),Herbs,20,1.5,3,0.1,"Bitter, Astringent (तिक्त, कषाय)",Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,Famous brain tonic (medhya rasayana).
Gotu Kola (मंडूकपर्णी),Herbs,35,2,6,0.2,Bitter (तिक्त),Cooling (शीत),Light (लघु),Sweet (मधुर),Balances all doshas (Tridoshic).,"Another excellent brain tonic, often confused with Brahmi."
Tendu Fruit (तेंदू फल),Fruits,81,0.6,18,0.3,"Sweet, Astringent (मधुर, कषाय)",Cooling (शीत),Heavy (गुरु),Sweet (मधुर),"Balances V, P. Can increase K.",A wild fruit of Chhattisgarh from which Tendu patta (for bidis) is harvested.
Ramphal (रामफल),Fruits,101,1.7,25,0.6,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V, P. Increases K.","A type of custard apple, slightly less sweet."
Star Gooseberry (हरफड़ौरी),Fruits,44,1,10,0.3,"Sour, Astringent (अम्ल, कषाय)",Cooling (शीत),Light (लघु),Sour (अम्ल),Balances P. Can increase V.,"Very sour, used for making pickles and preserves."
Cape Gooseberry (रसभरी),Fruits,53,1.9,11,0.7,"Sweet, Sour (मधुर, अम्ल)",Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V, K. Can increase P.","Tangy berry, rich in Vitamin C."
Tamarillo (टमारिल्लो),Fruits,31,1.5,5.5,0.5,"Sour, Astringent (अम्ल, कषाय)",Heating (उष्ण),Light (लघु),Sour (अम्ल),"Balances V, K. Increases P.","Tree tomato. Tangy flavor, used in chutneys."
Dasheri Mango (दशहरी आम),Fruits,60,0.8,15,0.4,Very Sweet (अति मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Famous North Indian mango variety.
Alphonso Mango (हापुस आम),Fruits,60,0.8,15,0.4,Sweet (मधुर),Heating (उष्ण),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Balances V. Increases P, K.",Considered the 'king of mangoes'. Richer and heavier.
Kesar Mango (केसर आम),Fruits,60,0.8,15,0.4,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Saffron-hued pulp. Sweet and aromatic.
Chausa Mango (चौसा आम),Fruits,60,0.8,15,0.4,Sweet (मधुर),Heating (उष्ण),Heavy (गुरु),Sweet (मधुर),"Balances V. Increases P, K.",Very sweet with a distinct flavor.
Kasoori Methi (कसूरी मेथी),Herbs,320,20,55,6,Bitter (तिक्त),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Excellent for V, K. Increases P.",Dried fenugreek leaves. Very aromatic.
Kala Jeera (काला जीरा),Spices,375,18,44,22,Pungent (कटु),Heating (उष्ण),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances K, V. Increases P.",Black Cumin. More pungent and darker than regular cumin.
Ajmod (अजमोद),Spices,350,16,40,20,Pungent (कटु),Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Excellent for V, K. Increases P.",Celery seeds. Good for joint pain and digestion.
Dagad Phool (दगड़ फूल),Spices,0,0,0,0,"Bitter, Astringent (तिक्त, कषाय)",Cooling (शीत),"Light, Dry (लघु, रूक्ष)",Pungent (कटु),"Balances P, K.","Black Stone Flower, a type of lichen used in spice blends."
Mulethi (मुलेठी),Herbs,350,10,70,1,Sweet (मधुर),Cooling (शीत),"Heavy, Unctuous (गुरु, स्निग्ध)",Sweet (मधुर),"Excellent for V, P. Increases K.",Licorice Root. Excellent for cough and sore throat.
Dry Garlic Powder (लहसुन पाउडर),Spices,331,17,73,0.7,Pungent (कटु),Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Balances V, K. Increases P.",Concentrated garlic flavor. Very heating.
Onion Powder (प्याज पाउडर),Spices,341,10,79,1,"Pungent, Sweet (कटु, मधुर)",Heating (उष्ण),Light (लघु),Sweet (मधुर),"Balances V, K. Increases P.",Provides onion flavor without the texture.
Mango Ginger (आम हल्दी),Spices,60,1.5,13,0.5,Pungent (कटु),Cooling (शीत),Light (लघु),Pungent (कटु),"Excellent for P. Balances V, K.",A rhizome that smells like raw mango. Digestive and cooling.
White Turmeric (अम्बा हल्दी),Spices,50,1.2,11,0.3,"Pungent, Bitter (कटु, तिक्त)",Cooling (शीत),Light (लघु),Pungent (कटु),"Excellent for P. Balances V, K.",Also called Zedoary. Used in pickles and for skincare.
Lemon Grass (गवती चाय),Herbs,99,1.8,25,0.5,Pungent (कटु),Cooling (शीत),"Light, Sharp, Dry (लघु, तीक्ष्ण, रूक्ष)",Pungent (कटु),"Balances V, K. Can increase P in excess.",Used in teas. Good for digestion and fever.
Galangal (कुलींजन),Spices,71,1.2,15,0.8,Pungent (कटु),Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Excellent for V, K. Increases P.","Related to ginger and turmeric, used in Thai cuisine."
Panch Phoron (पंच फोरन),Spice Blends,400,18,40,25,Mixed,Heating (उष्ण),"Light, Sharp (लघु, तीक्ष्ण)",Pungent (कटु),"Balances V, K. Increases P.","Bengali 5-spice blend (fenugreek, nigella, cumin, mustard, fennel)."
Garam Masala (गरम मसाला),Spice Blends,410,15,45,20,"Pungent, Sweet (कटु, मधुर)",Very Heating (अति उष्ण),"Light, Sharp, Dry (लघु, तीक्ष्ण, रूक्ष)",Pungent (कटु),"Balances K, V. Strongly increases P.",A blend of heating spices. Used at the end of cooking.
